LearningRate	TrainLoss	ValidLoss	AvgAcc.		TrainAcc. 	ValidAcc. 	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	0.349470	0.725153	79.559225	87.986000	77.000000	17.016181	1.048934	
0.100000	0.341112	0.617864	78.435671	88.212000	79.960000	17.473428	1.016334	
0.100000	0.341842	0.779856	79.664486	88.326000	77.550000	17.272916	1.050505	
0.100000	0.349607	0.631860	78.339771	88.012000	80.400000	17.243089	1.050684	
0.100000	0.343660	0.806057	78.222598	88.148000	76.390000	17.231209	1.007450	
0.100000	0.345134	0.680794	77.715495	88.128000	78.010000	17.083144	1.045431	
0.100000	0.337227	0.504043	79.067353	88.316000	83.470000	17.691738	1.047055	
0.100000	0.334220	0.503850	79.189486	88.350000	83.860000	17.635737	1.053241	
0.100000	0.334152	0.842260	78.818598	88.548000	74.050000	16.753132	1.005631	
0.100000	0.339597	0.979110	78.457459	88.306000	71.750000	17.536521	1.039526	
0.100000	0.344479	0.839218	78.280593	88.204000	73.500000	17.489291	1.038787	
0.100000	0.331727	0.534262	78.786050	88.640000	82.300000	17.544277	1.048252	
0.100000	0.343932	0.567579	79.063353	88.334000	81.370000	17.239424	1.021738	
0.100000	0.337970	0.781058	78.706203	88.236000	76.220000	17.459184	1.033766	
0.100000	0.332402	0.563633	79.051768	88.522000	81.750000	17.322200	1.035141	
0.100000	0.338908	0.499584	78.893356	88.368000	82.920000	17.231514	1.045668	
0.100000	0.335160	0.675091	78.605251	88.422000	79.820000	17.513158	1.037870	
0.100000	0.334824	0.948597	79.850234	88.524000	75.400000	17.643753	1.040707	
0.100000	0.332630	0.589959	79.784301	88.694000	81.530000	17.410821	1.048749	
0.100000	0.338107	0.519367	79.590457	88.346000	83.270000	17.488518	1.052640	
0.100000	0.326206	0.660011	79.502583	88.810000	79.450000	16.903318	1.019892	
0.100000	0.331639	1.099337	79.331499	88.626000	70.120000	17.449705	1.036297	
0.100000	0.333712	0.836828	78.758893	88.522000	74.890000	17.046999	1.032023	
0.100000	0.339079	0.757540	78.951645	88.434000	77.490000	17.491158	1.030850	
0.100000	0.336303	0.453302	77.926369	88.588000	84.910000	17.354789	1.035354	
0.100000	0.328394	0.631552	79.128646	88.756000	80.360000	17.506759	1.064255	
0.100000	0.333687	0.562193	79.481310	88.594000	81.920000	17.083458	1.075582	
0.100000	0.330090	0.943087	79.225199	88.708000	73.450000	17.315814	1.051407	
0.100000	0.335447	0.573690	79.030416	88.422000	81.740000	17.411836	1.016199	
0.100000	0.329689	0.551541	78.634210	88.554000	82.110000	17.442262	1.054467	
0.100000	0.333894	0.544401	79.286356	88.562000	81.880000	17.350225	1.049698	
0.100000	0.327434	0.600168	79.105295	88.726000	81.510000	17.495562	1.022330	
0.100000	0.332789	0.795065	79.672438	88.470000	76.470000	17.052463	1.029317	
0.100000	0.331863	0.894305	78.886137	88.502000	73.340000	17.291245	1.034527	
