LearningRate,TrainLoss,ValidLoss,TrainAcc.,ValidAcc.,TrainEpochTime(s),TestEpochTime(s)
0.010000,0.308665,0.374132,95.710000,89.170000,200.982943,2.427657
0.010000,0.309589,0.338956,95.716000,89.880000,199.344509,2.079870
0.010000,0.309969,0.329564,95.592000,89.990000,183.997868,2.097928
0.010000,0.317914,0.319140,95.458000,90.050000,199.314697,2.018142
0.010000,0.317124,0.345756,95.330000,89.430000,199.431065,1.976782
0.010000,0.303100,0.330944,95.862000,90.210000,199.988796,2.277690
0.010000,0.313059,0.339424,95.482000,89.690000,186.213784,2.078374
0.010000,0.312978,0.348582,95.512000,89.640000,198.880638,2.189429
0.010000,0.310301,0.350649,95.532000,89.630000,199.845106,2.123519
0.010000,0.314439,0.350447,95.422000,89.670000,199.55409,1.944745
0.010000,0.305874,0.352906,95.744000,89.590000,199.301273,2.215305
0.010000,0.312258,0.358331,95.482000,89.370000,163.846611,1.574237
0.010000,0.314022,0.405885,95.378000,87.440000,159.761413,1.626493
0.010000,0.315651,0.329396,95.314000,90.240000,158.812446,1.633931
0.010000,0.309682,0.328446,95.520000,90.410000,159.471735,1.733245
0.010000,0.299293,0.345004,95.830000,89.810000,160.534323,1.842023
0.010000,0.316863,0.366297,95.218000,88.530000,159.46395,1.628688
0.010000,0.316683,0.332528,95.268000,90.010000,159.440181,1.639157
0.010000,0.310988,0.345789,95.500000,89.960000,159.578455,1.623449
0.010000,0.311712,0.377204,95.448000,88.810000,162.589137,1.619846
0.010000,0.305870,0.354822,95.744000,89.600000,160.462653,1.829155
0.010000,0.312108,0.346853,95.492000,89.810000,162.200786,1.639646
0.010000,0.313310,0.362851,95.360000,89.320000,159.397019,1.655771
0.010000,0.305494,0.366042,95.672000,89.200000,162.234418,1.653964
0.001000,0.264931,0.255579,97.288000,92.280000,162.255597,1.628956
0.001000,0.241149,0.255002,98.128000,92.300000,160.626832,1.768515
0.001000,0.234402,0.252173,98.402000,92.570000,162.513588,1.589594
0.001000,0.229143,0.256309,98.586000,92.620000,159.541715,1.610064
0.001000,0.224646,0.257739,98.680000,92.470000,159.631791,1.648754
0.001000,0.223439,0.257762,98.700000,92.630000,159.512549,1.630237
0.001000,0.218876,0.253966,98.778000,92.770000,160.664099,1.777966
0.001000,0.217100,0.263674,98.858000,92.650000,159.519281,1.586280
0.001000,0.213908,0.266316,98.946000,92.480000,159.611007,1.652866
0.001000,0.213423,0.262872,98.964000,92.720000,162.749971,1.649536
0.001000,0.211450,0.265177,99.046000,92.580000,162.513392,1.650528
0.001000,0.209812,0.270069,99.044000,92.550000,160.583598,1.750127
0.001000,0.208069,0.274526,99.086000,92.640000,161.970102,1.614054
0.001000,0.206496,0.272214,99.162000,92.750000,159.348647,1.570710
0.001000,0.206721,0.273103,99.118000,92.680000,159.350145,1.596428
0.001000,0.202733,0.275190,99.198000,92.620000,161.747627,1.515983
0.001000,0.202523,0.272799,99.200000,92.780000,159.369943,1.669915
0.001000,0.199918,0.274556,99.294000,92.610000,159.311746,1.716963
0.001000,0.200051,0.272684,99.240000,92.770000,157.325271,1.703238
0.001000,0.198300,0.279153,99.304000,92.560000,157.22015,1.741778
0.001000,0.198175,0.277566,99.320000,92.720000,157.370025,1.712105
0.001000,0.195022,0.279989,99.404000,92.840000,113.034271,1.058814
0.001000,0.194490,0.282111,99.426000,92.770000,112.604153,1.045888
0.001000,0.193576,0.285481,99.444000,92.580000,112.823909,1.046966
0.001000,0.193242,0.285842,99.438000,92.750000,113.023588,1.030774
0.001000,0.192357,0.283316,99.412000,92.760000,112.919411,1.059242
0.001000,0.191025,0.287608,99.448000,92.700000,113.074872,1.055116
0.001000,0.189376,0.288889,99.454000,92.680000,112.917546,1.048078
0.001000,0.190422,0.286582,99.400000,92.830000,112.922893,1.050218
0.001000,0.188210,0.285934,99.464000,92.670000,113.229838,1.063579
0.001000,0.187489,0.286734,99.448000,92.710000,112.947707,1.022622
