LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	Lasso/Full_loss	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	0.655851	0.576847	86.810000	81.520000	0.412946	45.348404	0.862560	
0.100000	0.649453	0.859476	87.008000	73.630000	0.415759	45.489743	0.906105	
0.100000	0.655553	0.881049	86.748000	74.110000	0.411761	44.874579	0.804839	
0.100000	0.655445	0.711344	86.664000	75.760000	0.412574	32.167306	0.821469	
0.100000	0.655468	0.608730	86.850000	79.790000	0.412748	35.301662	0.780841	
0.100000	0.655190	0.843823	86.672000	76.620000	0.412641	45.150615	0.859902	
0.100000	0.646371	0.726105	86.870000	76.810000	0.416129	45.407617	0.944970	
0.100000	0.655492	0.724266	86.682000	77.570000	0.411142	44.008740	0.733013	
0.100000	0.647748	0.596829	86.958000	79.840000	0.415837	29.072885	0.756335	
0.100000	0.655880	0.822472	86.740000	74.620000	0.410468	38.889926	0.921421	
0.100000	0.658393	0.548405	86.592000	82.120000	0.407756	45.171255	0.876590	
0.100000	0.638515	0.703963	87.176000	76.940000	0.416909	45.693455	1.017110	
0.100000	0.658187	0.714654	86.524000	77.270000	0.408072	40.625129	0.793277	
0.100000	0.652018	0.702844	86.938000	78.320000	0.411883	27.845648	0.915440	
0.100000	0.653462	0.611181	86.706000	79.590000	0.411135	42.482756	0.803547	
0.100000	0.649851	0.745279	86.964000	77.860000	0.414029	45.216040	0.801774	
0.100000	0.637744	0.968597	87.140000	69.850000	0.418997	45.539398	0.947853	
0.100000	0.644944	1.036477	87.038000	69.680000	0.415200	37.889257	0.800455	
0.100000	0.650861	0.614821	86.928000	79.110000	0.411830	26.891062	0.894132	
0.100000	0.645741	0.825604	87.142000	75.250000	0.414891	44.892289	0.946038	
0.100000	0.649530	1.023188	86.874000	69.590000	0.412476	45.168746	0.878815	
0.100000	0.641340	0.979262	87.134000	71.720000	0.415062	45.442063	0.976347	
0.100000	0.646883	0.724310	86.758000	78.570000	0.411869	35.446136	0.713382	
0.100000	0.641356	0.707388	87.024000	77.660000	0.416190	29.029583	0.814244	
0.100000	0.645497	0.637745	86.960000	79.400000	0.412356	44.941815	0.806216	
0.100000	0.641769	0.545295	87.014000	82.090000	0.413749	44.960814	0.800920	
0.100000	0.633260	1.204722	87.146000	67.430000	0.417532	45.351947	0.971398	
0.100000	0.644367	0.539811	86.890000	82.400000	0.411064	31.810244	0.757147	
0.100000	0.644609	0.694743	86.780000	77.890000	0.408952	31.413381	0.913729	
0.100000	0.644517	0.812045	86.968000	75.120000	0.410868	45.063079	0.808800	
0.100000	0.632813	0.500018	87.434000	82.730000	0.417180	45.293040	0.810698	
0.100000	0.630739	0.763431	87.354000	76.310000	0.415120	45.463488	0.966680	
0.100000	0.639406	0.835125	87.000000	73.740000	0.409799	28.603912	0.793237	
0.100000	0.630999	0.597001	87.392000	80.030000	0.415873	33.225848	0.837811	
0.100000	0.634596	1.104219	87.222000	69.300000	0.412744	44.817891	0.890958	
0.100000	0.635963	0.577610	87.058000	81.210000	0.413108	45.035447	0.932403	
0.100000	0.624498	0.584884	87.578000	81.090000	0.417595	45.359547	0.897498	
0.100000	0.638592	0.698627	86.806000	77.470000	0.409204	26.889062	0.729203	
0.010000	0.507668	0.273214	91.624000	90.670000	0.513721	28.072977	0.751192	
0.001000	0.456309	0.268999	93.296000	90.740000	0.563461	30.888966	0.751952	
0.000100	0.451793	0.267280	93.478000	90.940000	0.568253	30.866934	0.792216	
0.010000	0.448186	0.271912	93.454000	90.660000	0.568117	29.271309	0.827829	
0.001000	0.425429	0.258004	94.162000	91.120000	0.592096	17.778306	0.744699	
0.000100	0.424610	0.257157	94.148000	91.080000	0.593329	17.686274	0.751531	
0.000010	0.421611	0.257303	94.366000	91.150000	0.597035	18.146854	0.746281	
0.000001	0.422304	0.258418	94.240000	91.100000	0.596319	18.061988	0.725750	
0.010000	0.427338	0.256577	93.986000	91.250000	0.584816	18.174484	0.793591	
0.001000	0.406567	0.253349	94.698000	91.660000	0.607843	17.943330	0.777454	
0.000100	0.399988	0.252919	94.962000	91.670000	0.617847	17.982787	0.737159	
0.000010	0.399754	0.254426	94.840000	91.560000	0.618944	17.973123	0.774113	
0.000001	0.398267	0.254367	94.918000	91.540000	0.620344	18.016006	0.749784	
0.010000	0.406467	0.260859	94.546000	91.360000	0.603669	18.261395	0.814798	
0.001000	0.390348	0.249238	95.072000	91.730000	0.622011	18.107155	0.766096	
0.000100	0.383981	0.247901	95.318000	91.740000	0.631993	17.770788	0.762324	
0.000010	0.380825	0.248343	95.386000	91.770000	0.636444	18.143924	0.747046	
0.000001	0.387569	0.249176	95.136000	91.730000	0.625183	18.035919	0.787917	
0.010000	0.391292	0.261842	94.816000	91.510000	0.614776	18.500185	0.836039	
0.001000	0.375414	0.252520	95.474000	91.910000	0.635134	18.241920	0.765350	
0.000100	0.367540	0.252794	95.688000	91.860000	0.647735	18.183457	0.735326	
0.000010	0.368991	0.253685	95.634000	91.900000	0.644584	18.313245	0.761996	
0.000001	0.368751	0.252831	95.536000	91.870000	0.645312	18.020642	0.730935	
0.010000	0.380752	0.266672	95.122000	91.540000	0.620936	18.185769	0.822248	
0.001000	0.362141	0.247543	95.724000	91.980000	0.646109	18.186220	0.755417	
0.000100	0.354914	0.249085	95.962000	91.940000	0.657943	18.155662	0.770329	
0.000010	0.353528	0.248969	95.990000	92.030000	0.660987	18.008756	0.755375	
0.000001	0.355250	0.249922	95.932000	92.000000	0.657647	18.413885	0.835819	
0.010000	0.367266	0.261560	95.408000	91.540000	0.631126	17.830174	0.851845	
0.001000	0.347209	0.254075	96.110000	91.930000	0.661537	17.490164	0.738987	
0.000100	0.340580	0.252090	96.312000	92.060000	0.672640	17.740066	0.742325	
0.000010	0.343935	0.253106	96.144000	92.010000	0.666014	17.886551	0.758420	
0.000001	0.342008	0.252065	96.276000	91.940000	0.669972	17.782882	0.756605	
0.010000	0.354408	0.269793	95.634000	91.260000	0.642608	18.289716	0.821921	
0.001000	0.340618	0.254250	96.138000	91.870000	0.661744	17.884026	0.741343	
0.000100	0.333779	0.255594	96.328000	91.860000	0.674282	18.093326	0.765225	
0.000010	0.331715	0.254902	96.462000	91.680000	0.678285	18.172348	0.760922	
0.000001	0.331066	0.254647	96.516000	91.810000	0.680406	18.204634	0.748849	
0.010000	0.345219	0.268334	95.848000	91.630000	0.647826	18.749388	0.835370	
0.001000	0.327332	0.250774	96.500000	92.110000	0.676359	17.968403	0.750850	
0.000100	0.321919	0.248929	96.610000	92.180000	0.686401	18.044306	0.758384	
0.000010	0.322225	0.249276	96.598000	92.100000	0.686532	17.938467	0.783888	
0.000001	0.320697	0.251530	96.730000	92.100000	0.689355	18.169307	0.744313	
0.010000	0.336979	0.267468	96.020000	91.790000	0.652032	18.109183	0.826406	
0.001000	0.320380	0.253226	96.576000	91.990000	0.678564	17.899558	0.745207	
0.000100	0.311394	0.253430	96.930000	92.070000	0.696280	18.064780	0.761440	
0.000010	0.313423	0.254240	96.874000	92.050000	0.692515	18.013416	0.768859	
0.000001	0.310422	0.255311	96.970000	91.890000	0.698896	18.571348	0.755113	
0.010000	0.328602	0.282738	96.098000	91.630000	0.656822	18.461543	0.794080	
0.001000	0.312022	0.256884	96.756000	92.060000	0.684361	18.026603	0.755374	
0.000100	0.302831	0.254233	97.104000	92.340000	0.704316	17.814397	0.734819	
0.000010	0.301799	0.254906	97.106000	92.260000	0.706534	17.764030	0.792450	
0.000001	0.303838	0.254576	96.994000	92.220000	0.702469	18.394164	0.759897	
0.010000	0.319070	0.276981	96.366000	91.610000	0.664451	18.440164	0.811703	
0.001000	0.304380	0.254154	96.856000	92.280000	0.689354	18.240150	0.735144	
0.000100	0.293955	0.255258	97.256000	92.220000	0.713217	18.397989	0.745786	
0.000010	0.294583	0.255690	97.296000	92.190000	0.711207	18.326289	0.760921	
0.000000	0.293912	0.254811	97.290000	92.190000	0.713318	18.204768	0.762463	
0.001000	0.293579	0.256865	97.220000	92.110000	0.713906	18.524606	0.815315	
0.000010	0.292070	0.255804	97.262000	92.160000	0.716198	17.820722	0.748593	
0.000000	0.291051	0.255214	97.380000	92.120000	0.718725	17.772240	0.786471	
0.000000	0.290154	0.257946	97.440000	92.190000	0.720691	18.077486	0.747239	
0.000000	0.288618	0.254633	97.478000	92.230000	0.724733	18.298920	0.780550	
0.001000	0.291622	0.254160	97.338000	92.270000	0.716449	18.139261	0.804846	
0.000010	0.288676	0.256125	97.346000	92.150000	0.723208	17.839768	0.751382	
0.000000	0.287523	0.256542	97.504000	92.170000	0.726180	17.965207	0.737931	
0.000000	0.286460	0.255582	97.546000	92.230000	0.727949	17.858682	0.740368	
0.000000	0.287473	0.255424	97.448000	92.300000	0.726195	17.932076	0.715772	
0.001000	0.287305	0.255177	97.454000	92.250000	0.725656	18.572461	0.851790	
0.000010	0.285456	0.258693	97.592000	92.250000	0.729795	18.081630	0.725927	
0.000000	0.284896	0.258856	97.552000	92.140000	0.731195	18.222705	0.765373	
0.000000	0.284657	0.254393	97.532000	92.270000	0.731668	18.416794	0.771329	
0.000000	0.284658	0.254945	97.538000	92.200000	0.731459	18.354574	0.767824	
0.001000	0.287548	0.255539	97.428000	92.290000	0.723893	18.075082	0.837020	
0.000010	0.283568	0.253441	97.552000	92.340000	0.732531	17.916332	0.737762	
0.000000	0.282874	0.257007	97.648000	92.280000	0.734994	18.057053	0.760057	
0.000000	0.282391	0.255671	97.640000	92.310000	0.735784	17.844235	0.750040	
0.000000	0.283019	0.255724	97.632000	92.300000	0.734523	18.099785	0.741836	
0.001000	0.285458	0.255427	97.518000	92.370000	0.728602	18.295638	0.811538	
0.000010	0.280481	0.255038	97.660000	92.160000	0.739266	17.899121	0.773510	
0.000000	0.282030	0.254143	97.570000	92.290000	0.735321	17.766779	0.786655	
0.000000	0.281571	0.255057	97.636000	92.240000	0.736416	17.923997	0.755642	
0.000000	0.281324	0.256095	97.610000	92.240000	0.737504	17.922254	0.741368	
0.001000	0.280552	0.256339	97.632000	92.240000	0.738437	18.458569	0.860636	
0.000010	0.278235	0.258016	97.742000	92.080000	0.743996	18.180428	0.737012	
0.000000	0.281025	0.254308	97.622000	92.300000	0.736008	18.391577	0.761575	
0.000000	0.278750	0.256328	97.728000	92.250000	0.743052	18.421987	0.749642	
0.000000	0.279201	0.257290	97.684000	92.230000	0.741181	18.415270	0.789960	
